[04 Feb 2024]  [16:07:25]  ** Server started **
[16:07:25]  Created server windows...
[16:07:25]  Loaded actor attributes...
[16:07:25]  Loaded damage types...
[16:07:25]  Loaded 1 abilities...
[16:07:25]  Loaded 2 factions...
[16:07:25]  Loaded 3 actors...
[16:07:25]  Loaded 4 items...
[16:07:25]  Loaded 2 projectiles...
[16:07:25]  Loaded 0 accounts...
[16:07:26]  Loaded 27 scripts...
[16:07:26]  Script log: Module 'RC_Core.rcm' already loaded
[16:07:26]  Compiled 2 Modules...
[16:07:26]  Loaded superglobal variables...
[16:07:26]  Loaded 4 zones...
[16:07:26]  Loaded 0 dropped items...
[16:07:26]  Loaded misc options...
[16:07:26]  Loaded environment settings...
[04 Feb 2024]  [16:07:26]  Loading complete, server running.
[04 Feb 2024]  [16:07:28]  Updates Server Unlocked
[16:07:28]  Loaded 0 files for update system...
[16:07:28]  Spawning AI actor: Human in zone: Test Zone
[16:07:30]  Spawning AI actor: Human in zone: Test Zone
[04 Feb 2024]  [16:07:31]  Updates Server Locked
[16:07:31]  Saved accounts...
[16:07:31]  Saved superglobal variables...
[16:07:31]  Saved zone ownerships...
[16:07:31]  Saved environment settings...
[16:07:31]  Saved dropped items...
[16:07:34]  Shutting down...
[16:07:34]  Beginning Shutdown script...
[16:07:34]  Shutdown script not present...
[16:07:34]  Taskbar notification area icon removed...
[16:07:34]  Actor Effects cleaned...
[16:07:34]  Saved accounts...
[16:07:34]  Saved superglobal variables...
[16:07:34]  Saved zone ownerships...
[16:07:34]  Saved environment settings...
[16:07:34]  Saved dropped items...
[16:07:34]  Network port scheduled for closing...
[04 Feb 2024]  [16:07:34]  ** Server shut down **
