"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:29:00.1603079Z","2244608","2244608","471040"
"2026-07-21T07:29:00.2731675Z","2248704","2248704","471040"
"2026-07-21T07:29:00.3833054Z","2248704","2248704","471040"
"2026-07-21T07:29:00.4929323Z","2248704","2248704","471040"
"2026-07-21T07:29:00.6027422Z","2248704","2248704","471040"
"2026-07-21T07:29:00.7110885Z","2248704","2248704","471040"
"2026-07-21T07:29:00.8207324Z","2248704","2248704","471040"
"2026-07-21T07:29:00.9304401Z","8712192","8712192","2076672"
"2026-07-21T07:29:01.0541147Z","17383424","17383424","39899136"
"2026-07-21T07:29:01.1655621Z","28385280","28385280","45334528"
"2026-07-21T07:29:01.2742174Z","50040832","50040832","67473408"
"2026-07-21T07:29:01.3829705Z","60522496","61636608","107163648"
"2026-07-21T07:29:01.4927450Z","80715776","83357696","128643072"
"2026-07-21T07:29:01.6198224Z","81567744","83533824","107999232"
"2026-07-21T07:29:01.7318499Z","99201024","99201024","158027776"
"2026-07-21T07:29:01.8577442Z","272019456","272019456","399822848"
"2026-07-21T07:29:01.9824024Z","281501696","281501696","4212420608"
"2026-07-21T07:29:02.1080854Z","296222720","296222720","669249536"
"2026-07-21T07:29:02.2335425Z","297512960","297512960","670699520"
"2026-07-21T07:29:02.3576425Z","297549824","297549824","670699520"
"2026-07-21T07:29:02.4839345Z","297582592","297582592","670699520"
"2026-07-21T07:29:02.6087200Z","297611264","297611264","670699520"
"2026-07-21T07:29:02.7332711Z","297635840","297635840","670699520"
"2026-07-21T07:29:02.8587586Z","297668608","297668608","670699520"
"2026-07-21T07:29:02.9697260Z","297705472","297705472","670699520"
"2026-07-21T07:29:03.0805021Z","297730048","297730048","670699520"
"2026-07-21T07:29:03.1887404Z","297742336","297742336","670699520"
"2026-07-21T07:29:03.2991593Z","297771008","297771008","670699520"
"2026-07-21T07:29:03.4247871Z","297807872","297807872","670699520"
"2026-07-21T07:29:03.5483775Z","297836544","297836544","670699520"
"2026-07-21T07:29:03.6588768Z","297857024","297857024","670699520"
"2026-07-21T07:29:03.7666649Z","297934848","297934848","670769152"
"2026-07-21T07:29:03.8760791Z","297955328","297955328","670769152"
"2026-07-21T07:29:03.9865231Z","297975808","297975808","670769152"
"2026-07-21T07:29:04.0962752Z","298000384","298000384","670769152"
"2026-07-21T07:29:04.2088048Z","298217472","298217472","671256576"
