[02 Feb 2024]  [06:13:38]  ** GUE startup log begins **
[06:13:38]  Initialising windowed graphics mode
[02 Feb 2024]  [06:16:24]  ** GUE startup log begins **
[06:16:24]  Initialising windowed graphics mode
[02 Feb 2024]  [06:17:37]  ** GUE startup log begins **
[06:17:37]  Initialising windowed graphics mode
[06:17:37]  Graphics started
[02 Feb 2024]  [06:20:30]  ** GUE startup log begins **
[06:20:30]  Initialising windowed graphics mode
[06:20:30]  Graphics started
[06:20:30]  Step 1
[06:20:30]  Step 2
[06:20:30]  Step 3
[06:20:30]  Step 4
[02 Feb 2024]  [06:22:09]  ** GUE startup log begins **
[06:22:09]  Initialising windowed graphics mode
[06:22:09]  Graphics started
[06:22:09]  Step 1
[06:22:09]  Step 2
[06:22:09]  Step 3
[06:22:09]  Step 4
[02 Feb 2024]  [06:24:32]  ** GUE startup log begins **
[06:24:32]  Initialising windowed graphics mode
[06:24:32]  Graphics started
[06:24:32]  Step 1
[06:24:32]  Step 2
[06:24:32]  Step 3
[06:24:32]  Step 4
[02 Feb 2024]  [07:09:48]  ** GUE startup log begins **
[07:09:48]  Initialising windowed graphics mode
[07:09:48]  Initialising encryption system
[07:09:48]  Loading splash screen
[07:09:55]  Creating media dialogs
[07:09:57]  Loading game interface settings
[07:09:57]  Loading emitter configurations
[07:09:58]  Loading damage types
[07:09:58]  Loading attributes
[07:09:58]  Loading factions
[07:09:58]  Loading animations
[07:09:58]  Loading projectiles
[07:09:58]  Loading items
[07:09:58]  Loading actors
[07:09:58]  Loading abilities
[07:09:58]  Loading server-side zones
[07:09:58]  Loading environment settings
[07:09:58]  Loading suns/moons
[07:09:58]  Creating main window
[07:09:58]  Creating project tab
[07:09:58]  Creating media tab
[07:10:00]  Creating particles tab
[07:10:02]  Creating combat tab
[07:10:03]  Creating projectiles tab
[07:10:04]  Creating factions tab
[07:10:05]  Creating animations tab
[07:10:05]  Creating attributes tab
[07:10:06]  Creating actors tab
[07:10:11]  Creating items tab
[07:10:14]  Creating seasons tab
[07:10:16]  Creating zones tab
[07:10:21]  Creating abilities tab
[07:10:22]  Creating interface tab
[07:10:26]  Creating host options
[07:10:26]  Creating game options
[07:10:27]  Creating money options
[07:10:27]  Creating gubbin remapping options
[07:10:27]  Initialising gadgets
[07:10:30]  Creating skyspheres
[07:10:30]  Performing final initialisation
[07:10:30]  ** GUE loading complete **
[02 Feb 2024]  [07:47:56]  ** GUE startup log begins **
[07:47:56]  Initialising windowed graphics mode
[07:47:56]  Initialising encryption system
[07:47:56]  Loading splash screen
[07:48:03]  Creating media dialogs
[07:48:05]  Loading game interface settings
[07:48:05]  Loading emitter configurations
[07:48:05]  Loading damage types
[07:48:05]  Loading attributes
[07:48:05]  Loading factions
[07:48:05]  Loading animations
[07:48:05]  Loading projectiles
[07:48:06]  Loading items
[07:48:06]  Loading actors
[07:48:06]  Loading abilities
[07:48:06]  Loading server-side zones
[07:48:06]  Loading environment settings
[07:48:06]  Loading suns/moons
[07:48:06]  Creating main window
[07:48:06]  Creating project tab
[07:48:06]  Creating media tab
[07:48:07]  Creating particles tab
[07:48:09]  Creating combat tab
[07:48:10]  Creating projectiles tab
[07:48:12]  Creating factions tab
[07:48:12]  Creating animations tab
[07:48:13]  Creating attributes tab
[07:48:14]  Creating actors tab
[07:48:19]  Creating items tab
[07:48:22]  Creating seasons tab
[07:48:24]  Creating zones tab
[07:48:28]  Creating abilities tab
[07:48:29]  Creating interface tab
[07:48:33]  Creating host options
[07:48:34]  Creating game options
[07:48:35]  Creating money options
[07:48:35]  Creating gubbin remapping options
[07:48:35]  Initialising gadgets
[07:48:38]  Creating skyspheres
[07:48:38]  Performing final initialisation
[07:48:38]  ** GUE loading complete **
[07:48:49]  Loaded options from file
[07:48:49]  Gooey loaded for menu
[07:48:52]  EULA complete
[07:48:52]  Loaded animation sets
[07:48:52]  Server chosen
[02 Feb 2024]  [07:55:01]  ** GUE startup log begins **
[07:55:01]  Initialising windowed graphics mode
[07:55:01]  Initialising encryption system
[07:55:01]  Loading splash screen
[07:55:09]  Creating media dialogs
[07:55:11]  Loading game interface settings
[07:55:11]  Loading emitter configurations
[07:55:11]  Loading damage types
[07:55:11]  Loading attributes
[07:55:11]  Loading factions
[07:55:11]  Loading animations
[07:55:11]  Loading projectiles
[07:55:11]  Loading items
[07:55:11]  Loading actors
[07:55:11]  Loading abilities
[07:55:11]  Loading server-side zones
[07:55:11]  Loading environment settings
[07:55:11]  Loading suns/moons
[07:55:11]  Creating main window
[07:55:11]  Creating project tab
[07:55:12]  Creating media tab
[07:55:13]  Creating particles tab
[07:55:15]  Creating combat tab
[07:55:16]  Creating projectiles tab
[07:55:18]  Creating factions tab
[07:55:18]  Creating animations tab
[07:55:19]  Creating attributes tab
[07:55:19]  Creating actors tab
[07:55:25]  Creating items tab
[07:55:28]  Creating seasons tab
[07:55:29]  Creating zones tab
[07:55:34]  Creating abilities tab
[07:55:35]  Creating interface tab
[07:55:39]  Creating host options
[07:55:40]  Creating game options
[07:55:41]  Creating money options
[07:55:41]  Creating gubbin remapping options
[07:55:41]  Initialising gadgets
[07:55:44]  Creating skyspheres
[07:55:44]  Performing final initialisation
[07:55:44]  ** GUE loading complete **
[02 Feb 2024]  [07:57:36]  ** GUE startup log begins **
[07:57:36]  Initialising windowed graphics mode
[07:57:37]  Initialising encryption system
[07:57:37]  Loading splash screen
[07:57:43]  Creating media dialogs
[07:57:45]  Loading game interface settings
[07:57:45]  Loading emitter configurations
[07:57:45]  Loading damage types
[07:57:45]  Loading attributes
[07:57:45]  Loading factions
[07:57:45]  Loading animations
[07:57:45]  Loading projectiles
[07:57:45]  Loading items
[07:57:45]  Loading actors
[07:57:45]  Loading abilities
[07:57:45]  Loading server-side zones
[07:57:46]  Loading environment settings
[07:57:46]  Loading suns/moons
[07:57:46]  Creating main window
[07:57:46]  Creating project tab
[07:57:46]  Creating media tab
[07:57:47]  Creating particles tab
[07:57:49]  Creating combat tab
[07:57:50]  Creating projectiles tab
[07:57:52]  Creating factions tab
[07:57:52]  Creating animations tab
[07:57:53]  Creating attributes tab
[07:57:54]  Creating actors tab
[07:57:59]  Creating items tab
[07:58:02]  Creating seasons tab
[07:58:03]  Creating zones tab
[07:58:08]  Creating abilities tab
[07:58:09]  Creating interface tab
[07:58:13]  Creating host options
[07:58:14]  Creating game options
[07:58:15]  Creating money options
[07:58:15]  Creating gubbin remapping options
[07:58:15]  Initialising gadgets
[07:58:18]  Creating skyspheres
[07:58:18]  Performing final initialisation
[07:58:18]  ** GUE loading complete **
[02 Feb 2024]  [08:10:28]  ** GUE startup log begins **
[08:10:28]  Initialising windowed graphics mode
[08:10:28]  Initialising encryption system
[08:10:28]  Loading splash screen
[08:10:34]  Creating media dialogs
[08:10:38]  Loading game interface settings
[08:10:38]  Loading emitter configurations
[08:10:40]  Loading damage types
[08:10:40]  Loading attributes
[08:10:40]  Loading factions
[08:10:40]  Loading animations
[08:10:40]  Loading projectiles
[08:10:40]  Loading items
[08:10:40]  Loading actors
[08:10:40]  Loading abilities
[08:10:40]  Loading server-side zones
[08:10:40]  Loading environment settings
[08:10:40]  Loading suns/moons
[08:10:40]  Creating main window
[08:10:40]  Creating project tab
[08:10:41]  Creating media tab
[08:10:45]  Creating particles tab
[08:10:50]  Creating combat tab
[08:10:52]  Creating projectiles tab
[08:10:56]  Creating factions tab
[08:10:57]  Creating animations tab
